Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019
Liberia,3300 ,2600 , 4200,3100 ,2400 , 4000,3000 ,2300 , 4000,3000 ,2300 , 4100,2900 ,2200 , 4000,2700 ,2000 , 3800,2600 ,1900 , 3800,2500 ,1800 , 3700,2300 ,1600 , 3400,2200 ,1500 , 3300,-35
Libya,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-43
Lithuania,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,5
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Madagascar,2000 ,1500 , 2500,2400 ,1900 , 3000,2800 ,2300 , 3400,3300 ,2800 , 4100,3800 ,3200 , 4800,4400 ,3500 , 5500,4800 ,3800 , 6200,5200 ,3900 , 7000,5500 ,4000 , 7700,5900 ,3900 , 8400,191
Malawi,56 000 ,52 000 , 60 000,52 000 ,48 000 , 56 000,48 000 ,44 000 , 52 000,46 000 ,42 000 , 51 000,44 000 ,40 000 , 48 000,42 000 ,38 000 , 46 000,40 000 ,36 000 , 45 000,37 000 ,33 000 , 42 000,35 000 ,30 000 , 40 000,33 000 ,28 000 , 38 000,-41
Malaysia,5400 ,4900 , 5900,5300 ,4900 , 5800,5400 ,4900 , 5800,5400 ,4900 , 5900,5300 ,4800 , 5800,5200 ,4700 , 5700,5400 ,4800 , 5900,5300 ,4700 , 5900,5700 ,5000 , 6400,6300 ,5500 , 7100,17
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mali,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
